Sc,Em,Ei,cm,ci,m1,m_min,rs1,a_bar,w,scentype
Sc1,0,0,0,0,8,0.000547945,0.001820496,365.4905941,0.673621967,baseline
Sc2,0.7,0.35,0,0,8,0.000547945,0.002114133,313.8111999,0.67952866,metintake
Sc3,0.15,0.05,0,0,8,0.000547945,0.001871586,357.1706431,0.677980742,metintake
Sc4,0.6,0.1,0,0,8,0.000547945,0.002012626,343.2753793,0.695235952,metintake
Sc5,0.7,0,0,0,8,0.000547945,0.002028131,350.6895345,0.704140878,metintake
Sc6,0.35,0.7,0,0,8,0.000547945,0.002128597,284.7056656,0.659710505,metintake
Sc7,0.05,0.15,0,0,8,0.000547945,0.001873435,347.7941577,0.671743914,metintake
Sc8,0.05,0.3,0,0,8,0.000547945,0.001852552,337.5939202,0.638020889,metintake
Sc9,0,0.7,0,0,8,0.000547945,0.002019662,289.766904,0.647894621,metintake
Sc10,0.63,0.7,0,0,4,0.000547945,0.000841126,492.4512734,0.653238441,standmort
Sc11,0.63,0.7,0,0,6,0.000547945,0.000841126,492.4512734,0.653238441,standmort
Sc12,0.63,0.7,0,0,8,0.000547945,0.00222349,280.4403857,0.669873383,standmort
Sc13,0.63,0.7,0,0,20,0.000547945,0.000841126,492.4512734,0.653238441,standmort
Sc14,0.63,0.7,0.01,0,8,0.000547945,0.002522506,265.5350688,0.69984343,cmci
Sc15,0.63,0.7,0.02,0,8,0.000547945,0.002874489,249.8545941,0.732115892,cmci
Sc16,0.63,0.7,0.015,-0.001,8,0.000547945,0.002708818,257.1642023,0.717880971,cmci
Sc17,0.63,0.7,0.01,-0.01,8,0.000547945,0.002741243,256.5926966,0.724985748,cmci
Sc18,0.63,0.7,0.001,-0.015,8,0.000547945,0.002558421,265.5643053,0.710718387,cmci
Sc19,0.63,0.7,-0.001,-0.015,8,0.000547945,0.002487494,269.2068408,0.704386829,cmci
Sc20,0.63,0.7,0.015,-0.001,6,0.000547945,0.000897297,480.182196,0.6890943,cmci_mort
Sc21,0.63,0.7,0.01,-0.01,4,0.000547945,0.000929016,474.9095158,0.761475481,cmci_mort
Sc22,0.63,0.7,0.01,-0.01,20,0.000547945,0.000962342,85.87971069,0.676499685,cmci_mort
Sc23,0.63,0.7,0,0.01,8,0.000547945,0.002072994,284.1077449,0.648802557,cionly
Sc24,0.7,0.63,0,0.01,8,0.000547945,0.00207121,290.2108701,0.652163006,cionly
Sc25,0.63,0.7,0,0.001,8,0.000547945,0.002209217,280.8412721,0.667746928,cionly
Sc26,0.63,0.7,-0.01,0.01,8,0.000547945,0.001765793,300.659902,0.617585926,cmci
Sc27,0.63,0.7,-0.001,0.01,8,0.000547945,0.002041713,285.7273598,0.645641513,cmci
Sc28,0.63,0.7,0.001,0.0015,8,0.000547945,0.002230573,279.5574152,0.669629253,cmci
Sc29,0.7,0.01,0.01,0,8,0.000547945,0.002297426,329.4911669,0.740072075,metcmci
Sc30,0.7,0.01,0,0.01,8,0.000547945,0.00187622,359.0431691,0.674952026,metcmci
Sc31,0.7,0.01,-0.01,0,8,0.000547945,0.001808783,368.1926979,0.672497146,metcmci
Sc32,0.7,0.01,0,-0.01,8,0.000547945,0.002309424,328.7714912,0.74496216,metcmci
Sc33,0.7,0.01,-0.01,-0.01,8,0.000547945,0.00202694,350.9443996,0.708290049,metcmci
Sc34,0.7,0.35,0,0,7,0.000547945,0.001884148,360.4802516,0.655431814,metcmci
Sc35,0.7,0.35,0.001,0,7,0.000547945,0.001884688,360.4510984,0.657229538,metcmci
Sc36,0.05,0.3,0.01,0,8,0.000547945,0.001885537,360.1344774,0.656822823,metcmci
Sc37,0,0,0,0,1,0.000547945,0.006222334,176.8016003,0.99,mort_only
Sc38,0,0,0,0,2,0.000547945,0.005526528,211.9934767,0.99,mort_only
Sc39,0,0,0,0,4,0.000547945,0.002445753,378.2069558,0.817156266,mort_only
Sc40,0,0,0,0,4,0.00109589,0.004105289,267.347475,0.973826568,mort_only
Sc41,0,0,0,0,8,0.00109589,0.002774108,297.1256765,0.788276979,mort_only
Sc42,0.63,0.7,0.001,-0.015,8,0.00109589,0.001892924,359.3847539,0.673989933,cmci_mort
Sc43,0.6,0.1,0,0,8,0.00109589,0.001941195,355.9734453,0.726594846,metintake_mort
Sc44,0,0.35,0,-0.01,8,0.000547945,0.002002364,322.7163871,0.687756861,int_cmci
Sc45,0,0.35,0,0,8,0.00109589,0.002721595,281.7617741,0.772386904,int_mort
Sc46,0,0.1,0,0,10,0.00109589,0.003047273,251.3261045,0.781231473,int_mort
Sc47,0,0.35,0,0,10,0.00109589,0.003047424,238.8353395,0.773292875,int_mort
Sc48,0,0.35,0,-0.01,10,0.00109589,0.003475945,222.7572945,0.799461642,int_mort
Sc49,0,0.35,0,-0.01,8,0.00109589,0.003185322,257.4354161,0.805099074,int_mort
Sc50,0.63,0.7,0,0.001,8,0.00109589,0.002970738,252.5496786,0.778777471,cmci_mort
Sc51,0.7,0.63,0,-0.005,8,0.000547945,0.002299069,282.9361378,0.685270433,
Sc52,0.15,0.05,0,0,8,0.00109589,0.00283,291.436,0.791,
